input_id,source_name,source_type,path_or_locator,source_hash,source_hash_kind,bytes,member_count,central_directory_status,priority,window_relevance,terminal_use_status,opened_or_consumed,notes
11,S03_CODEX_ML_HARNESS_EVIDENCE_08_450_500MB_20260712.zip,ZIP,/mnt/data/S03_CODEX_ML_HARNESS_EVIDENCE_08_450_500MB_20260712.zip,9c38083895f9255beded9c7378c45a1cfefd6bcf4ce207e73fa7fce2555972dd,ZIP_CENTRAL_DIRECTORY_SHA256,515989228,246,READABLE,P2_EXECUTABLE_ARTIFACT,OOF UQ AD and analog evidence,USED_AS_REFERENCE,YES,No production registry write performed.
12,S04_GITHUB_HISTORY_STAGING_01_450_500MB_20260712.zip,ZIP,/mnt/data/S04_GITHUB_HISTORY_STAGING_01_450_500MB_20260712.zip,c45cde385c02fb3e7a847baaa8815ecd00894834713ef46f0c4287b1462ef31c,ZIP_CENTRAL_DIRECTORY_SHA256,506137803,57191,READABLE,P3_PLATFORM_CODE,historical evidence and repository lineage,USED_AS_REFERENCE,YES,Used to cross-check prior window conventions; not treated as original paper evidence.
13,S04_GITHUB_STAGING_CODE_01_450_500MB_20260712.zip,ZIP,/mnt/data/S04_GITHUB_STAGING_CODE_01_450_500MB_20260712.zip,a5df586a0d619483fc4d182186bd79901711f517b1130a1365c6f25c3f8ec36a,ZIP_CENTRAL_DIRECTORY_SHA256,515999572,244,READABLE,P3_PLATFORM_CODE,engineering and staging infrastructure,USED_AS_REFERENCE,YES,No experimental values taken from code.
14,S04_GITHUB_STAGING_CODE_02_450_500MB_20260712.zip,ZIP,/mnt/data/S04_GITHUB_STAGING_CODE_02_450_500MB_20260712.zip,bf320529787b3dc8ad6e35f80932cd65d6b31a3191c22a6617c379b2f5c1ce43,ZIP_CENTRAL_DIRECTORY_SHA256,516062924,396,READABLE,P3_PLATFORM_CODE,engineering and staging infrastructure,USED_AS_REFERENCE,YES,No experimental values taken from code.
15,S04_GITHUB_STAGING_CODE_03_450_500MB_20260712.zip,ZIP,/mnt/data/S04_GITHUB_STAGING_CODE_03_450_500MB_20260712.zip,08fcdf8c3c2bab7bc75b59334eb01bb7a6c9f741d13fda7db9d5cc9baec96755,ZIP_CENTRAL_DIRECTORY_SHA256,516106394,499,READABLE,P3_PLATFORM_CODE,engineering and staging infrastructure,USED_AS_REFERENCE,YES,No experimental values taken from code.
16,TITMC_V27_LIT_WEB_P001_OF_010.zip,ZIP,/mnt/data/TITMC_V27_LIT_WEB_P001_OF_010.zip,42ea6aab13dd1f1f78abda0d405455b487276c35f78a4498b66bd6bb7659c9d0,ZIP_CENTRAL_DIRECTORY_SHA256,499460308,15,READABLE,P0_PRIMARY_ORIGINAL,primary literature corpus and registries,USED_AS_REFERENCE,YES,Top-level archive terminally registered; targeted paper identities resolved through project File Library.
17,TITMC_V27_LIT_WEB_P002_OF_010.zip,ZIP,/mnt/data/TITMC_V27_LIT_WEB_P002_OF_010.zip,05154dead5ca9bc8d735f176ec9c8c9bb7ca379a0f15c5f1faf911d21045d193,ZIP_CENTRAL_DIRECTORY_SHA256,490572377,154,READABLE,P0_PRIMARY_ORIGINAL,primary literature corpus,USED_AS_REFERENCE,YES,Member-level package audit previously passed; exact target member path remains a local absorption check.
18,TITMC_V27_LIT_WEB_P003_OF_010.zip,ZIP,/mnt/data/TITMC_V27_LIT_WEB_P003_OF_010.zip,535a7ab923abee6e198e13d27ba6c889fb0b418803980afb8e8e4727e9515917,ZIP_CENTRAL_DIRECTORY_SHA256,490379244,4610,READABLE,P0_PRIMARY_ORIGINAL,primary literature corpus,USED_AS_REFERENCE,YES,Registered with terminal state and package fingerprint.
19,TITMC_V27_LIT_WEB_P004_OF_010.zip,ZIP,/mnt/data/TITMC_V27_LIT_WEB_P004_OF_010.zip,bedcf5c644ff575bb01af96ccc811695b50992b2009d8a1216e1231bb2ee6b2a,ZIP_CENTRAL_DIRECTORY_SHA256,490620829,7747,READABLE,P0_PRIMARY_ORIGINAL,primary literature corpus,USED_AS_REFERENCE,YES,Registered with terminal state and package fingerprint.
20,TITMC_V27_LIT_WEB_P005_OF_010.zip,ZIP,/mnt/data/TITMC_V27_LIT_WEB_P005_OF_010.zip,1591284648ebff252da8aabd56258fed40dc3bf1f4229bfc8196adb457bc83d1,ZIP_CENTRAL_DIRECTORY_SHA256,490762545,10068,READABLE,P0_PRIMARY_ORIGINAL,primary literature corpus,USED_AS_REFERENCE,YES,Registered with terminal state and package fingerprint.
21,TITMC_V27_LIT_WEB_P006_OF_010.zip,ZIP,/mnt/data/TITMC_V27_LIT_WEB_P006_OF_010.zip,5135e53a29f81541c8a9279ef8f3f4012a8f22abed8756568d9af25339e0da13,ZIP_CENTRAL_DIRECTORY_SHA256,490902802,11778,READABLE,P0_PRIMARY_ORIGINAL,primary literature corpus,USED_AS_REFERENCE,YES,Registered with terminal state and package fingerprint.
22,TITMC_V27_LIT_WEB_P007_OF_010.zip,ZIP,/mnt/data/TITMC_V27_LIT_WEB_P007_OF_010.zip,4f6b93c170fad6f5c0d4c284d30ce78b7a3ce06222f2aa3e5ba3b959cf6441d1,ZIP_CENTRAL_DIRECTORY_SHA256,491018449,13499,READABLE,P0_PRIMARY_ORIGINAL,primary literature corpus,USED_AS_REFERENCE,YES,Registered with terminal state and package fingerprint.
23,TITMC_V27_LIT_WEB_P008_OF_010.zip,ZIP,/mnt/data/TITMC_V27_LIT_WEB_P008_OF_010.zip,478b1ce7a9dd927f066e28744343a8b091fc2f0bfdae2acb0a427b247a817341,ZIP_CENTRAL_DIRECTORY_SHA256,491203652,15702,READABLE,P0_PRIMARY_ORIGINAL,primary literature corpus,USED_AS_REFERENCE,YES,Registered with terminal state and package fingerprint.
24,TITMC_V27_LIT_WEB_P009_OF_010.zip,ZIP,/mnt/data/TITMC_V27_LIT_WEB_P009_OF_010.zip,b2827c86b5ef84d841898c024edc3b0ab08de81c76754bc08f8097379f6e488a,ZIP_CENTRAL_DIRECTORY_SHA256,491501617,20036,READABLE,P0_PRIMARY_ORIGINAL,primary literature corpus,USED_AS_REFERENCE,YES,Registered with terminal state and package fingerprint.
25,TITMC_V27_LIT_WEB_P010_OF_010.zip,ZIP,/mnt/data/TITMC_V27_LIT_WEB_P010_OF_010.zip,faac7eff93754bdf49ea413a4ba91954b3fbdcad1179f02fa602bcd35fcfda4d,ZIP_CENTRAL_DIRECTORY_SHA256,367381900,57717,READABLE,P0_PRIMARY_ORIGINAL,primary literature corpus,USED_AS_REFERENCE,YES,Registered with terminal state and package fingerprint.
26,QM21_基体族对增强效应的异质性与跨牌号迁移.md,MDU,/mnt/data/QM21_基体族对增强效应的异质性与跨牌号迁移.md,,MISSING_ORIGINAL_BYTE_HASH,,,READABLE,P0_CONTRACT,execution contract,USED_DIRECTLY,YES,Contract copied into repository; build-time copy hash is recorded but original mounted-file byte hash remains requested.
